Date,Predicted_Close,Actual_Close,Stock
2022-01-03,2.758852005004883,2.5966,AHEALTH
2022-01-04,2.4990782737731934,2.577,AHEALTH
2022-01-05,2.6182477474212646,2.577,AHEALTH
2022-01-06,2.736812829971313,2.5477,AHEALTH
2022-01-07,2.837607383728028,2.5379,AHEALTH
2022-01-10,2.7324488162994385,2.5379,AHEALTH
2022-01-11,2.5718753337860107,2.5379,AHEALTH
2022-01-12,2.7321982383728027,2.5477,AHEALTH
2022-01-13,2.7606801986694336,2.5379,AHEALTH
2022-01-14,2.600830078125,2.5085,AHEALTH
2022-01-17,2.6946825981140137,2.5085,AHEALTH
2022-01-19,2.5533266067504883,2.4889,AHEALTH
2022-01-20,2.6357569694519043,2.4595,AHEALTH
2022-01-21,2.755028009414673,2.4693,AHEALTH
2022-01-24,2.7704553604125977,2.4693,AHEALTH
2022-01-25,2.716439247131348,2.4007,AHEALTH
2022-01-26,2.457635402679444,2.3909,AHEALTH
2022-01-27,2.684612274169922,2.4105,AHEALTH
2022-01-28,2.828296184539795,2.3713,AHEALTH
2022-01-31,2.6173524856567383,2.3909,AHEALTH
2022-02-03,2.9001150131225586,2.4007,AHEALTH
2022-02-04,2.5582046508789062,2.4791,AHEALTH
2022-02-07,2.709646224975586,2.4595,AHEALTH
2022-02-08,2.775373697280884,2.5477,AHEALTH
2022-02-09,2.836199760437012,2.6162,AHEALTH
2022-02-10,2.7154266834259038,2.626,AHEALTH
2022-02-11,2.5374691486358643,2.6162,AHEALTH
2022-02-14,2.74041748046875,2.5868,AHEALTH
2022-02-15,2.8376669883728027,2.5183,AHEALTH
2022-02-17,2.751335620880127,2.5183,AHEALTH
2022-02-18,2.9009451866149902,2.5868,AHEALTH
2022-02-21,2.6226110458374023,2.5477,AHEALTH
2022-02-22,2.7925992012023926,2.5183,AHEALTH
2022-02-23,2.868422269821167,2.5085,AHEALTH
2022-02-24,2.9657020568847656,2.5477,AHEALTH
2022-02-25,2.824486494064331,2.5966,AHEALTH
2022-02-28,2.6751961708068848,2.6162,AHEALTH
2022-03-01,2.903716564178467,2.6554,AHEALTH
2022-03-02,2.9117884635925293,2.626,AHEALTH
2022-03-03,2.8761603832244877,2.626,AHEALTH
2022-03-04,2.796102523803711,2.6162,AHEALTH
2022-03-07,2.5773768424987797,2.5868,AHEALTH
2022-03-08,2.6684131622314453,2.5477,AHEALTH
2022-03-09,2.7510268688201904,2.5574,AHEALTH
2022-03-10,2.814054012298584,2.5868,AHEALTH
2022-03-11,2.712885856628418,2.5574,AHEALTH
2022-03-14,2.6118052005767822,2.5672,AHEALTH
2022-03-15,2.782658576965332,2.5966,AHEALTH
2022-03-16,2.7462282180786133,2.6456,AHEALTH
2022-03-17,2.79994535446167,2.6358,AHEALTH
2022-03-18,2.7258358001708984,2.6358,AHEALTH
2022-03-21,2.571168899536133,2.675,AHEALTH
2022-03-22,2.675121784210205,2.675,AHEALTH
2022-03-23,2.6836962699890137,2.6946,AHEALTH
2022-03-24,2.7610793113708496,2.6848,AHEALTH
2022-03-25,2.6892082691192627,2.7044,AHEALTH
2022-03-28,2.668438673019409,2.7632,AHEALTH
2022-03-29,2.7442445755004883,2.8024,AHEALTH
2022-03-30,2.762559175491333,2.8514,AHEALTH
2022-03-31,2.6724910736083984,2.822,AHEALTH
2022-04-01,2.968432903289795,2.8024,AHEALTH
2022-04-04,2.7356090545654297,2.8808,AHEALTH
2022-04-05,2.8523988723754883,2.8808,AHEALTH
2022-04-06,2.9355900287628174,2.8514,AHEALTH
2022-04-07,3.06467342376709,2.9396,AHEALTH
2022-04-08,2.938570737838745,2.969,AHEALTH
2022-04-11,2.864544630050659,2.92,AHEALTH
2022-04-12,3.0021872520446777,2.9102,AHEALTH
2022-04-13,3.012236356735229,2.9102,AHEALTH
2022-04-14,2.9355216026306152,2.9004,AHEALTH
2022-04-15,3.133316993713379,2.9004,AHEALTH
2022-04-18,2.8613109588623047,2.9102,AHEALTH
2022-04-20,2.9295363426208496,2.9004,AHEALTH
2022-04-21,3.1043741703033447,2.9004,AHEALTH
2022-04-22,3.3373680114746094,2.8514,AHEALTH
2022-04-25,3.019438982009888,2.8416,AHEALTH
2022-04-26,2.952755689620972,2.8122,AHEALTH
2022-04-27,3.2267374992370605,2.7828,AHEALTH
2022-04-28,3.131764888763428,2.8024,AHEALTH
2022-04-29,3.202454805374145,2.7926,AHEALTH
2022-05-05,3.1202783584594727,2.8024,AHEALTH
2022-05-06,3.04105281829834,2.8024,AHEALTH
2022-05-09,3.2133724689483643,2.822,AHEALTH
2022-05-10,3.110313415527344,2.8416,AHEALTH
2022-05-11,3.2370409965515137,2.8122,AHEALTH
2022-05-12,3.046762228012085,2.7926,AHEALTH
2022-05-13,3.115774631500244,2.8318,AHEALTH
2022-05-17,3.2225053310394287,2.9004,AHEALTH
2022-05-18,3.153679847717285,2.9886,AHEALTH
2022-05-19,3.449854850769043,2.9886,AHEALTH
2022-01-03,1.9450396299362185,1.96,APM
2022-01-05,1.6838003396987915,1.96,APM
2022-01-06,1.910766363143921,2.0,APM
2022-01-07,1.910255789756775,2.01,APM
2022-01-10,2.027503728866577,2.0,APM
2022-01-11,1.9303629398345947,1.96,APM
2022-01-12,1.709907054901123,2.0,APM
2022-01-13,1.9554153680801392,2.0,APM
2022-01-14,1.9714577198028564,2.0,APM
2022-01-17,1.847546100616455,2.0,APM
2022-01-19,2.011043071746826,1.97,APM
2022-01-20,1.7466684579849243,1.97,APM
2022-01-21,1.8978071212768557,2.0,APM
2022-01-28,1.981509566307068,2.0,APM
2022-02-03,2.1020188331604004,1.99,APM
2022-02-09,2.0330493450164795,2.0,APM
2022-02-10,1.797833800315857,1.99,APM
2022-02-14,2.038243293762207,2.0,APM
2022-02-15,2.0637238025665283,2.0,APM
2022-02-16,1.8647708892822263,2.0,APM
2022-02-17,2.0589258670806885,1.99,APM
2022-02-18,1.8692725896835327,1.99,APM
2022-02-21,2.0002057552337646,2.0,APM
2022-02-22,2.056562662124634,2.1,APM
2022-02-23,2.0951147079467773,2.0,APM
2022-02-24,2.1254067420959477,2.0,APM
2022-02-25,1.8282148838043213,1.95,APM
2022-02-28,2.117037296295166,2.03,APM
2022-03-03,2.1694259643554688,2.03,APM
2022-03-04,1.9319167137146,2.03,APM
2022-03-07,2.074702024459839,2.01,APM
2022-03-08,1.8636233806610107,1.94,APM
2022-03-09,1.9645109176635744,1.95,APM
2022-03-10,2.0382184982299805,1.97,APM
2022-03-11,2.0809426307678223,1.98,APM
2022-03-14,2.119220972061157,1.97,APM
2022-03-15,1.890835404396057,1.97,APM
2022-03-16,2.035672903060913,1.97,APM
2022-03-17,2.0452702045440674,1.98,APM
2022-03-18,1.9170632362365725,2.02,APM
2022-03-24,2.1135363578796387,2.05,APM
2022-03-25,1.8890825510025024,2.07,APM
2022-03-30,1.8883328437805176,2.05,APM
2022-03-31,2.0191359519958496,2.06,APM
2022-04-01,2.0737712383270264,2.07,APM
2022-04-04,2.0838732719421387,2.07,APM
2022-04-05,1.9117960929870603,2.07,APM
2022-04-06,2.059170246124268,2.09,APM
2022-04-07,2.1140336990356445,2.11,APM
2022-04-08,1.9881620407104488,2.12,APM
2022-04-11,2.085285186767578,2.18,APM
2022-04-12,1.9096635580062864,2.19,APM
2022-04-13,1.95058274269104,2.1,APM
2022-04-14,2.0518507957458496,2.16,APM
2022-04-18,2.070029020309448,2.15,APM
2022-04-20,2.0660877227783203,2.16,APM
2022-04-21,1.9004065990448,2.12,APM
2022-04-22,2.1052587032318115,2.12,APM
2022-04-25,2.121134996414185,2.12,APM
2022-04-26,2.014811754226685,2.18,APM
2022-04-27,2.067927837371826,2.17,APM
2022-04-28,1.798349380493164,2.18,APM
2022-04-29,1.8624637126922607,2.17,APM
2022-05-05,1.9544146060943604,2.13,APM
2022-05-06,2.013567924499512,2.18,APM
2022-05-09,2.081082344055176,2.15,APM
2022-05-10,1.8140040636062624,2.1,APM
2022-05-11,2.075636625289917,2.1,APM
2022-05-12,2.1126866340637207,2.05,APM
2022-05-13,1.927504539489746,2.17,APM
2022-05-17,2.058568954467773,2.17,APM
2022-05-18,1.8185003995895384,2.17,APM
